AC	126
BB	88
BC	109
CA	96
CB	96
CC	100
aa	112
ab	98
ba	87
AE	79
BD	80
BE	89
Bf	99
CD	128
CE	92
CF	104
ad	111
af	118
AG	118
BG	78
BH	73
CG	69
ah	78
ai	94
bi	81
ch	89
ci	69
AJ	92
AK	103
BJ	76
BK	107
BL	90
CJ	81
CK	75
al	113
cl	90
BM	83
BN	63
am	121
an	126
ao	86
bo	74
cm	155
cn	52
co	88
ÄO	85
än	100
AP	98
BP	102
BR	82
BS	85
Bq	57
CP	99
CQ	75
CR	86
CS	100
ar	83
as	129
AU	121
BT	77
BV	91
CT	69
CV	81
at	126
av	96
bu	69
cu	63
AX	89
AZ	97
BW	77
CW	81
CZ	65
ay	67
bx	69
cx	69
cy	43
e-
DC	125
EA	103
EC	98
FA	121
FB	69
FC	146
dB	98
da	130
DD	72
DF	69
EE	82
EF	86
FF	109
de	162
ed	89
fe	60
DG	77
EG	73
EH	70
FG	70
FH	87
dH	90
di	132
ei	188
fi	117
DJ	126
DK	85
DL	88
EJ	75
EK	109
FJ	74
FK	116
FL	89
el	111
DM	91
FM	110
FN	100
dn	65
em	119
en	130
eo	60
fo	60
DP	77
DQ	75
DS	116
EP	132
FP	65
FS	94
dr	73
es	103
fr	65
DV	77
EU	134
EV	92
FT	93
dt	80
et	130
fu	86
DW	78
DX	91
FX	89
Fw	86
dy	67
ew	52
ex	104
ez	73
GB	96
GC	74
HB	84
HC	120
IB	97
IC	90
ga	96
ha	121
ia	121
iä	107
GD	80
GE	93
GF	80
HD	114
HF	93
IF	118
he	163
id	106
ie	79
GG	89
HH	80
IG	89
IH	65
hg	43
hi	80
GJ	77
GL	87
HK	113
HL	92
Hj	67
IK	111
GM	105
GN	83
Go
HM	92
hn	52
ho	77
im	107
in	153
io	77
GP	131
GS	90
HP	102
HR	90
HS	96
IP	100
IQ	76
IR	77
gr	80
is	123
GT	117
HT	98
IU	91
gu	67
hv	124
GW	111
GX	83
HY	78
Hz	93
JB	76
JC	89
KC	77
LC	98
La	139
ja	217
kB	90
ka	96
lb	79
JD	78
KD	88
KF	83
LD	74
LF	80
ke	83
le	119
JG	89
KH	72
LG	94
LH	77
jh	57
ji	76
kg	142
ki	87
li	86
JJ	95
JK	99
JL	69
KL	78
kJ	97
kk	107
lk	121
LM	83
jo	172
kN	92
km	160
ko	115
lo
JP	94
JS	82
KP	91
LP	115
LR	81
jr	94
kr	97
ks	119
ls	79
JT	80
JV	63
KV	102
LT	97
ju	74
kt	96
ku	85
lu	67
KZ	75
LW	72
LZ	81
kW	121
ky	78
ly	73
MB	103
MC	111
NB	69
NC	77
OB	82
OC	89
ma	98
mä	102
na	117
oa	69
MD	87
MF	84
ND	85
NF	79
me	124
ne	166
oe	72
MH	70
mg	117
mi	98
nH	60
ng	90
og	97
oh	88
oi	91
MJ	94
NL	93
OJ	65
OK	108
mk	101
ml	115
nk	126
ol	81
MN	91
mm	167
mo	83
nm	104
nn	63
no	131
om	99
on	212
MP	96
MS	98
NP	89
mr	83
nr	70
ns	151
op	110
os	121
MV	95
NT	99
NV	76
OT	79
mt	70
mu	84
nu	98
MW	125
MX	80
MZ	67
NX	77
my	111
ny	85
ox	60
oy	114
oz	67
PC	124
Pb	63
QB	73
QC	82
RB	67
RC	103
SA	111
SB	87
SC	116
pa	77
på	100
ra	90
PD	72
PE	83
PF	69
QF	77
RD	78
SD	103
SF	102
re	115
rf	88
se	182
RG	86
RH	69
SG	95
pH	117
pi	79
ri	77
PJ	88
PK	90
QL	73
RJ	79
RK	82
RL	81
SJ	88
SK	111
SL	105
PM	104
RM	92
SM	106
SN	89
po	86
rn	74
ro	79
so	107
PP	96
PR	83
PS	100
QQ	77
RR	90
RS	100
SP	96
SS	125
rp	78
sr	75
PV	96
Qt	70
RT	81
RV	82
SV	107
St	128
pt	69
pu	65
qu	79
ru	80
su	91
PW	67
PX	65
RW	85
RX	79
SW	82
SX	80
py	60
ry	143
sy	72
TB	83
TC	84
UB	77
UC	93
VB	70
VC	81
ta	138
ua	67
va	92
TD	83
TF	70
UE	77
te	105
ve	107
Uh	52
VG	77
VH	75
tg	43
th	83
ti	90
ui	115
TJ	91
TK	87
UK	117
VJ	81
VK	89
VL	99
tl	65
ul	63
TM	104
VM	85
VN	63
tn	99
to	144
um	90
TP	94
TR	87
US	117
VR	116
ts	116
ur	76
vp	81
vs	119
TT	101
TV	124
UT	84
UU	72
UV	80
VU	87
vt	114
vv	95
TW	82
TX	69
TZ	65
VW	94
VX	74
VY	74
ty	67
vz	67
WB	94
WC	102
wa	96
xB	76
ya	94
za	87
Xe	52
ZF	80
xD	79
YH	100
wh	43
yi	70
XJ	78
XK	78
YK	136
YL	77
ZL	73
WM	60
XM	82
Zn	60
xn	72
ym	124
yo	94
yö	118
WR	60
WS	74
XP	107
ZP	75
ZR	77
XT	89
wu	74
xu	52
yu	57
XY	80
YY	65
ZX	95
ZZ	102
ww	57
.ac
.ba
.bb
.ca
.cc
.ad
.ae
.af
.bd
.be
.bf
.cd
.cf
.ag
.ai
.bg
.bh
.bi
.cg
.ch
.ci
.al
.bj
.ck
.cl
.am
.ao
.bm
.bn
.bo
.cm
.cn
.co
.aq
.ar
.as
.bq
.br
.bs
.cr
.at
.au
.bt
.cu
.cv
-by	10
.aw
.ax
.az
.bw
.by
.bz
.cw
.cx
.cy
.cz
.ec
.de
.ee
.eg
.eh
.fi
.dj
.dk
.fj
.fk
.fm
.dm
.do
.fo
.er
.es
.fr
.et
.eu
.dz
.ga
.gd
.ge
.gf
.id
.ie
.gg
.gh
.gi
.gl
.hk
.il
-in	10
.gm
.gn
.hm
.hn
.im
.in
.io
.gp
.gq
.gr
.gs
.hr
.iq
.ir
.is
.gt
.gu
.ht
.hu
.it
.gw
.gy
.la
.lb
.lc
.je
.ke
.kg
.kh
.ki
.li
.lk
.jm
.jo
.km
.kn
.jp
.kp
.kr
.lr
.ls
.lt
.lu
.lv
.kw
.ky
.kz
.ly
.ma
.mc
.na
.nc
.md
.me
.ne
.nf
.mg
.mh
.ng
.ni
.mk
.ml
.nl
.mm
.mn
.mo
.no
.om
.mp
.mq
.mr
.ms
.np
.nr
.mt
.mu
.mv
.nu
.mw
.mx
.my
.mz
.nz
.pa
.qa
.sa
