'd	10
'm	10
-o	10
's	10
a-
AB	253
BA	169
BC	137
CB
Ca	224
aa	252
ac	15
cc	186
AF	94
CD	137
CE	25
ad	225
ae	15
be	173
bf
cf	111
AG	191
AI
BG	87
BH	73
CG	93
CH	15
Ci
ah	84
bi	15
AK
Al	250
BK
BL	89
cl	67
AM	129
CN
an	187
ao	15
bo	197
cm	130
co
AP	242
AQ	68
BP
BR	24
CP	142
CQ	80
CR
ar	251
as	196
cs	89
AU
BT	98
CU	181
CV	97
at	190
av	217
bu	110
ct	203
AW	83
CW	44
CX	81
Cy
ax	78
ay	29
az	160
by	194
d'
e-
DC	1
EB	84
FC	199
dB	92
da	25
ea	134
ec	65
fa
fb	15
DD
De	252
EF	15
Ed
FD	82
Fe	61
ee	18
DG	84
Fi	201
dh	96
di	253
eh	73
DJ	25
DL	67
El
dk	105
ej	15
ek	178
fl	220
DM	93
FM	136
do	155
em
en	15
fo	45
DQ	75
DR	132
DS
EP
ER
FP	81
dp	32
es	15
fr	79
DT	94
EU	121
EV	88
du	202
dv	112
et
ft	127
fu	169
DW	78
DX	91
DZ	70
Dy
ex	130
ez	15
GA	15
GB	105
GC	93
HB	85
IA	150
ha
ib	72
ic	181
GE	15
HD	117
HF	92
he	187
id	99
if	159
GH	15
GI	92
Hi	93
IG	82
IH	74
ii	15
HK	90
gk	15
ij	15
ik	15
il
GM	62
go	164
ho
im
in	210
GQ	83
GS	95
HP	107
HQ	105
IP	25
IQ	99
IR
is	200
GT	111
GU	65
HV	76
gv	96
hu	72
it	184
iv	191
HW
gy	15
JC	90
Ka	121
La	245
ja	254
kB	81
lb	113
JD	67
LD	88
je	224
ke	254
le	253
JH	71
Ki	254
ji	253
kg	124
kh	218
lg	51
li	237
JJ	89
LJ	76
JM	73
Jo	99
LM	90
km	155
ko	87
lo
JP	96
Jr	122
KR
LP
LR
KT	82
Ku	86
Lt	106
Lu	56
ju	203
kV	95
LW	68
kW	113
O'
MB
MC	30
Ma	95
NC
Na	250
oa	150
ob	121
MD	25
MF	85
OE	72
me	173
nd	30
ne	254
od	30
of	214
MG	25
Ni	239
mi	240
ng	98
nh	79
oh	105
NL
OK	150
mk	60
ml	92
oj	15
ol	237
Mo	194
Om	245
mm	135
nm	127
no	160
on	195
MP
Mr	129
OS
ms	85
op	25
or	184
MV	98
Mt
Mu	168
NV
nt	58
nu	89
ot	112
MW	25
MX	88
NY	74
Oz	93
my	160
ow
ox	92
oy	52
PB
PC	126
Pa	91
QC	96
Ra	225
SB	93
rc	141
sa	250
sc	215
PD	34
SD	102
pe	251
rd	124
re
se	254
sf	76
Pi	91
SG	101
pH	107
pg	101
qi	195
ri	185
sh	19
si	253
PJ	87
Pk	36
RJ	82
RL	86
SK	100
SL	99
PM	110
QN	46
RM	94
po	200
rn	15
ro	15
so	163
PS	25
QP	62
QQ
RR	86
SP
pp	209
pr	230
qr	32
rs
sq
sr	143
ss	189
PV	90
Ru	67
St	115
pt	74
pu	247
rt	59
su	202
sv	30
PW	73
PX	67
RW
RX	89
py	60
ry
sy	57
Ta	89
UA	89
UB	85
UC	93
VB	84
Va	15
tb	216
TD	25
UE	84
te	238
ud	213
uf
ve	243
TI	86
VG	77
VH	82
VI	15
th	122
ug	178
uh	76
ui
UK	26
ul	230
UN
VM	83
VN	63
tn	154
to	215
um	84
vo	18
TS	90
US	160
Ur	188
VP	96
tr	42
up	160
vs	126
TT	100
TV	96
UT	199
UV	101
tu	247
vu	73
Ty
VW
ux
uz	18
WA	244
WB
WC	81
YB	75
Ya
za	86
WD	73
XE	70
we	180
xd	19
ye	97
ze	232
WG	77
Wi	244
wh	254
WK	59
WL	63
xl	30
WO	63
wm	25
xm	99
yo	93
zo	32
WS	84
XP
ZR	70
Wu
yt
yu	248
.ac
.ba
.bb
.ca
.cc
.ad
.ae
.af
.bd
.be
.bf
.cd
.cf
.ag
.ai
.bg
.bh
.bi
.cg
.ch
.ci
.al
.bj
.ck
.cl
.am
.ao
.bm
.bn
.bo
.cm
.cn
.co
.aq
.ar
.as
.bq
.br
.bs
.cr
.at
.au
.bt
.cu
.cv
-by	10
.aw
.ax
.az
.bw
.by
.bz
.cw
.cx
.cy
.cz
.ec
.de
.ee
.eg
.eh
.fi
.dj
.dk
.fj
.fk
.dm
.do
.fm
.fo
.er
.es
.fr
.et
.eu
.dz
.ga
.gd
.ge
.gf
.id
.ie
.gg
.gh
.gi
.gl
.hk
.il
-in	10
.gm
.gn
.hm
.hn
.im
.in
.io
.gp
.gq
.gr
.gs
.hr
.iq
.ir
.is
.gt
.gu
.ht
.hu
.it
.gw
.gy
.la
.lb
.lc
.je
.ke
.kg
.kh
.ki
.li
'll	10
.lk
.jm
.jo
.km
.kn
.jp
.kp
.kr
.lr
.ls
.lt
.lu
.lv
.kw
.ky
.kz
.ly
'n'
-o-
.ma
.mc
.na
.nc
.md
.me
.ne
.nf
.mg
.mh
.ng
.ni
.mk
.ml
.nl
-on	10
.mm
.mn
.mo
.no
.om
.mp
.mq
.mr
.ms
.np
.nr
.mt
.mu
.mv
.nu
.mw
.mx
.my
.mz
.nz
.pa
.qa
.sa
.sb
.sc
're	10
.pe
.pf
.re
.sd
.se
.pg
.ph
.sg
.sh
.si
.pk
.pl
.sk
.sl
.pm
.pn
.ro
.sm
.sn
.so
.pr
.ps
.rs
.sr
.ss
.pt
.ru
.st
.su
.sv
-RW	10
.pw
.py
.rw
.sx
.sy
.sz
.tc
.ua
.va
.vc
've	10
.td
.tf
.ve
.tg
.th
.ug
.vg
.vi
.tj
.tk
.tl
.uk
.tm
.tn
.to
.vn
-up	10
.tr
.us
.tt
.tv
.vu
.tw
.tz
.uy
.uz
.za
.wf
.ye
.zm
.ws
.yt
.zw
AAA	25
ABC	25
ACC	224
BBB	75
BBC	139
CAA	89
CAC	84
CBA	91
CBC	71
CCA	86
CCB	68
CCC	94
aab	121
baa	49
bab	44
cab	108
ACD	65
Abe	30
BCD	72
CBF	72
CCD	90
aad	156
aae	15
aaf	15
abd	163
ace	104
bad	130
bae	35
cad	59
caf	139
cbd	77
ACG	64
ACH	67
CBI	86
CCG	74
CCI	79
aag	248
aah	15
aai	252
abi	15
bag	114
bah	57
bai	45
cai	55
cch	57
Baj	15
Cal	81
aaj	252
aak	178
aal	206
bak	158
bal	64
bbl	63
ABM	74
ACM	91
CBM	73
CBN	95
CBO	66
aam	17
aan	230
aao	15
abn	171
bam	58
ban	121
cam	97
can	170
ACS	30
BBQ	110
BBS	91
CBP	74
CBR	68
CBS	25
CCP	88
CCR	75
CCS	85
aap	253
aar	15
aas	15
abs	62
acp	160
acr	236
bap	229
