AC	115
BC	92
ba	110
bb	90
ca	104
cc	98
cá	102
ad	112
ae	73
af	87
bd	91
be	109
bf	43
cd	141
cf	100
ag	107
ah	84
ai	106
aí	131
bg	92
bh	96
bi	108
cg	87
ci	89
al	134
bj	66
ck	65
cl	69
am	118
ao	187
bm	75
bn	95
bo	77
cm	133
cn	96
co	135
ão	97
ar	146
as	188
br	131
bs	96
cr	101
às	163
at	121
au	106
cu	79
cv	109
az	80
bw	85
cw	92
cx	77
cz	80
da	205
dá	144
ec	102
fã	115
de	221
dê	102
fé	133
eg	75
eh	76
fi	92
dj	122
dk	70
FM	129
dm	79
do	206
dó	102
em	204
fo	74
er	103
es	106
fr	99
és	100
et	142
eu	136
ex	150
ga	88
há	157
ia	130
gd	79
ge	107
gf	78
id	97
ie	79
gg	79
gh	79
gi	73
ih	55
hk	80
il	106
IM	105
gm	106
hm	79
in	147
io	81
gp	117
gq	78
gr	94
gs	87
hr	85
iq	75
ir	137
is	122
gt	108
gu	73
it	114
gw	63
já	167
la
lb	84
lc	98
lá	142
lã	109
lê	112
LG	89
kg	130
ki	92
li	90
lk	68
jm	71
jo	82
km	183
lo	151
jp	88
kr	52
lr	79
lu	73
kw	97
ky	55
ly	53
ma	102
mc	107
má	120
na	195
nc	85
md	100
me	136
ne	95
nf	86
mg	125
mh	72
ng	82
ni	98
oh	89
oi	79
mk	96
ml	97
nl	74
mm	130
mn	92
mo	88
no	197
nó	114
om	89
mp	98
mq	65
mr	106
ms	114
np	95
nr	86
os	193
mt	102
mu	81
mv	91
nu	112
nú	77
ou	183
mw	103
mx	86
mz	86
Sá	113
pa	107
pá	90
rã	97
sa	113
sb	59
sc	121
sã	82
pe	87
pf	91
pé	133
re	124
sd	94
se	197
sé	102
sê	87
pg	98
ph	112
ri	93
sg	104
si	145
pk	83
pl	102
pm	98
pn	88
pó	116
ro	91
sm	90
sn	82
só	158
QQ	69
pr	122
ps	106
rs	126
sr	101
ss	119
pt	125
ru	80
st	81
su	99
sv	98
py	63
rw	85
tc	91
ua	148
va	95
vc	97
vá	104
vã	78
te	124
tf	78
tê	107
ué
vê	133
ti	108
uh	81
ui	74
vg	74
vi
UK	110
tj	89
tk	84
tm	100
tn	92
to	140
um	200
tr	95
us	113
TV	152
tu	109
vu	80
xá	90
Zé	112
xi
ws	72
zw	59
.ac
.ba
.bb
.ca
.cc
.ad
.ae
.af
.bd
.be
.bf
.cd
.cf
.ag
.ai
.bg
.bh
.bi
.cg
.ch
.ci
.al
.bj
.ck
.cl
.am
.ao
.bm
.bn
.bo
.cm
.cn
.co
.aq
.ar
.as
.bq
.br
.bs
.cr
.at
.au
.bt
.cu
.cv
.aw
.ax
.az
.bw
.by
.bz
.cw
.cx
.cy
.cz
.ec
.de
.ee
.eg
.eh
.fi
.dj
.dk
.fj
.fk
.dm
.do
.fm
.fo
.er
.es
.fr
.et
.eu
.dz
.ga
.gd
.ge
.gf
.id
.ie
.gg
.gh
.gi
.gl
.hk
.il
.gm
.gn
.hm
.hn
.im
.in
.io
.gp
.gq
.gr
.gs
.hr
.iq
.ir
.is
.gt
.gu
.ht
.hu
.it
.gw
.gy
.la
.lb
.lc
.je
.ke
.kg
.kh
.ki
.li
.lk
.jm
.jo
.km
.kn
.jp
.kp
.kr
.lr
.ls
.lt
.lu
.lv
.kw
.ky
.kz
.ly
.ma
.mc
.na
.nc
.md
.me
.ne
.nf
.mg
.mh
.ng
.ni
.mk
.ml
.nl
.mm
.mn
.mo
.no
.om
.mp
.mq
.mr
.ms
.np
.nr
.mt
.mu
.mv
.nu
.mw
.mx
.my
.mz
.nz
.pa
.qa
.sa
.sb
.sc
.pe
.pf
.re
.sd
.se
.pg
.ph
.sg
.sh
.si
.pk
.pl
.sk
.sl
.pm
.pn
.ro
.sm
.sn
.so
.pr
.ps
.rs
.sr
.ss
.pt
.ru
.st
.su
.sv
.pw
.py
.rw
.sx
.sy
.sz
.tc
.ua
.va
.vc
.td
.tf
.ve
.tg
.th
.ug
.vg
.vi
.tj
.tk
.tl
.uk
.tm
.tn
.to
.vn
.tr
.us
.tt
.tv
.vu
.tw
.tz
.uy
.uz
.za
.wf
.ye
.zm
.ws
.yt
.zw
aba	87
cai	121
caí	64
cal	107
aço	125
cão	123
bar	118
baú	91
afã	78
ceá
adi	49
bel	85
bem	162
cem	124
céu	130
aia	76
chá	117
chã	76
age	111
agi	66
cio	78
ais	76
bis	94
bit	111
Alá	43
aja	75
ala	121
clã	121
ali	139
ajo	55
alô	64
Ana	82
ama	115
amá	83
anã	102
boa	142
coa	87
coá
ame	77
coe	53
boi	114
amo	100
ano	169
bom	140
com	199
côo
aos	169
cor	143
ara	83
ará	53
asa	113
are	105
crê	105
cri	57
aro	90
crú	65
ata	97
atá	70
ate	106
até	173
atê
ave	137
ato	133
avó	119
avô	125
cus	43
azo	77
dai	99
daí	135
dão	127
eco	103
dar	144
das	184
dás	61
fãs	135
faz	154
dei	112
der	128
dês	72
deu	149
edu	79
dez	142
fez	157
dia	165
eia	83
fia	106
fiá
fie	53
ego	106
fim	156
fio	119
eis	99
diz	148
fiz	96
ela	163
ele	173
elo	104
els	68
Ema	80
doa	88
doá	64
doe	63
doê
doí
dói	71
foi	192
dom	115
dôo
dor	127
dos	191
for	143
dou	86
foz	122
era	177
EUA	145
Eva	104
etc	147
fui	102
dum	118
duo	107
iça	49
içá	52
ice	68
IBM	119
hão	85
iam	119
iço	29
gás	133
hás	62
ias	70
geá
ida	118
ide	92
hei	78
hem	53
ido	108
gil	111
HIV	108
giz	87
ímã	82
gol	132
gnu	110
gov	88
int	91
Grã	101
Irã	106
ira	111
irá	133
HTC
hum	88
lar	117
las	131
lãs	71
jaz	91
lei	146
ler	124
lês	52
leu	103
léu	38
lha	77
lia	95
lhe	158
lho	81
los	140
lua	121
jus	94
luz	144
Mac	74
oba	57
oca	88
mãe	149
mal	138
mão	140
não	183
oco	92
Mar	154
mas	174
más	109
nas	170
mau	120
MDC	77
NEC	89
ode	83
mel	113
nem	147
mês	140
meu	127
net	107
mia	75
miá
mie	57
mil	154
Ohm	74
mim	118
mio	80
ois	49
olá	65
moa	57
moe	55
moê
moí
mói	52
môo
mor	131
mos	89
nos	174
nós	133
noz	96
opa	53
ora	117
orá
ore	66
org	112
opô	29
oro	79
nua	104
mui	91
num	164
ovo	115
nús	63
Pai	155
sai	128
saí	81
sal	124
SBM	76
São	179
pão	121
par	130
pás	98
sãs	58
pau	117
paz	137
rei	154
sei	107
sem	163
per	131
pés	134
rés	90
rês	65
ser	179
réu	97
seu	183
pia	95
piá	49
ria	94
pie	64
Rio	156
pio	79
rim	99
sim	135
rir	95
ris	38
riu	73
roa	38
soa	96
sob	158
soá	29
põe	112
roe	43
roê
soe	71
roí
rói	53
sol	132
rôo
som	140
sôo
por	195
pós	137
pôr	118
pôs	116
sós	90
sou	114
pra	125
pré	140
pro	111
pró	120
pua	58
rua	138
sua	186
sub	133
suá	47
que	203
sue	77
rui	110
Sul	157
rum	88
suo	67
pus	88
uai	72
vai	147
TCL
tal	150
tão	147
vão	137
vás	49
vãs	69
tem	176
têm	153
vem	144
vêm	122
ter	164
ver	145
vês	67
teu	106
véu	97
tez	70
vez	164
tia	115
via	141
viã
vii
vil	85
tio	127
vim	80
vir	122
vis	84
viu	133
uma	201
una	110
voa	99
voá
une	117
voe	66
uni	85
tom	123
uno	87
vôo	131
uns	131
vos	109
vós	100
vou	104
voz	140
usa	138
usá	110
use	105
uso	154
tua	103
uva	108
zen	84
ZTE
.biz
.com
.edu
.gov
.int
.net
.org
Acab	52
baba	66
babá	94
caca	49
caça	130
caçá	69
babe	38
cabe	111
cabê
cace	38
Baal	55
Baco	78
ação	143
babo	67
baço	96
cabo	134
caco	62
caço
abas	88
cada	161
cadê	53
café	131
Abel	100
bafo	66
caem	107
cães	121
acha	117
achá	80
baga	81
baia	83
baía	124
