ก็	93
กก	
กง	
กฎ	1
กฏ	
กด	1
กบ	
กร	1
กล	
กอ	
กะ	1
กา	2
กำ	
กิ	1
กี	
กุ	
กู	1
เก	
แก	4
โก	1
ขน	1
ขอ	10
ขะ	
ขา	2
ขำ	
ไข	
คง	11
คน	69
คบ	
คม	1
คอ	1
คะ	5
คา	1
คำ	11
คิ	
คี	
คุ	
คู	
เค	1
แค	
โค	1
งง	
งด	
งบ	
งอ	
งา	
งู	
ไง	3
จง	1
จด	
จน	13
จบ	3
จม	
จอ	
จะ	156
จา	1
จำ	3
จิ	1
จี	1
จุ	
จู	
เจ	1
แจ	
โจ	
ใจ	9
ชก	
ชง	
ชน	2
ชม	2
ชล	
ชะ	
ชา	2
ชิ	1
ชี	
ชู	1
เช	
แช	
โช	
ซอ	
ซะ	1
ซา	1
ซิ	1
ซี	2
ซุ	
ซู	
เซ	1
โซ	1
ไซ	
ญา	
ณา	
ณี	
ณุ	
ดง	
ดม	
ดา	1
ดำ	3
ดิ	1
ดี	26
ดุ	
ดู	16
เด	
โด	1
ใด	11
ได	
ตก	3
ตน	7
ตบ	
ตอ	
ตะ	1
ตา	7
ตำ	
ติ	1
ตี	1
ตุ	
เต	
โต	3
ไต	
ถู	
ทน	1
ทบ	
ทร	
ทศ	
ทอ	
ทะ	
ทา	1
ทำ	29
ทิ	
ที	4
ทุ	
ทู	
เท	1
โท	1
ไท	1
ธง	
ธน	
ธร	
ธา	
ธิ	1
ธี	
นก	2
นพ	
นม	1
นะ	14
นา	4
นำ	14
นิ	1
นี	1
นุ	
เน	1
โน	1
ใน	167
ไน	
บ่	
บก	
บด	
บท	3
บน	9
บอ	
บะ	
บา	1
บิ	
บี	1
บุ	
บู	
เบ	
แบ	
โบ	
ใบ	4
ไบ	
ปก	
ปน	
ปม	
ปอ	
ปะ	
ปา	1
ปิ	
ปี	22
ปู	1
เป	
โป	
ไป	110
ผง	
ผม	28
ผล	10
ผา	
ผี	1
ฝน	2
ฝา	
พก	
พบ	9
พร	1
พล	1
พอ	9
พะ	
พา	4
พิ	
พี	1
เพ	
แพ	
โพ	
ไพ	
ฟา	
ฟิ	
ฟี	
ฟู	
เฟ	
ไฟ	2
ภพ	
ภา	
ภิ	
ภู	
มด	
มน	
มอ	
มะ	
มา	98
มิ	3
มี	158
มู	
เม	1
แม	
โม	1
ไม	
ยก	3
ยง	
ยศ	
ยอ	
ยะ	1
ยา	6
ยี	
ยุ	
ยู	1
โย	1
ใย	
รก	
รณ	
รด	
รถ	6
รบ	
รม	
รส	1
รอ	3
ระ	1
รา	2
รำ	
ริ	1
รี	1
รึ	1
รุ	
รู	
เร	1
โร	1
ไร	
ฤา	
ลง	19
ลด	5
ลบ	1
ลม	1
ลอ	
ละ	6
ลา	2
ลำ	1
ลิ	1
ลี	1
ลู	
เล	1
แล	1
โล	1
ไล	
วง	2
วน	
วร	
วะ	1
วา	1
วิ	1
วี	1
เว	
ไว	
ศพ	2
ศร	
ษา	
สง	
สด	1
สน	
สบ	1
สม	2
สร	
สห	
สอ	
สะ	
สา	2
สิ	3
สี	9
สึ	
สุ	2
สู	
เส	
โส	
ใส	1
หก	1
หด	
หน	
หอ	
หา	11
หึ	
หู	1
เห	1
โห	
อก	1
อง	
อด	1
อบ	
อม	
อร	
ออ	
อะ	2
อา	3
อำ	
อิ	1
อี	2
อุ	
อู	
เอ	2
แอ	
โอ	3
ไอ	1
ฮะ	
ฮา	
ฮิ	
เฮ	
โฮ	
ไฮ	
ก๊ก	
ก้น	
กบฏ	
ก้ม	1
กรง	
กรด	
กรม	2
กระ	1
กลบ	
กลม	
กวน	
กวี	1
ก่อ	1
กอง	2
กอด	1
กอน	
กอส	
กัก	
กัง	
กัด	1
กัน	54
กับ	61
ก้า	
กาง	
กาม	
กาย	2
การ	184
กาล	
กิจ	1
กิน	8
กี่	2
กี้	
กุม	
กุล	1
กู้	1
เก๋	
เกต	
เกม	1
เกร	
เกษ	
เกะ	
เกา	
แก่	9
แก้	3
แกง	
แกน	
แกม	
แกะ	
โก้	
โกง	
โกะ	
ไก่	1
ไกร	
ไกล	2
ขณะ	1
ขนม	1
ข่ม	
ขยะ	1
ขวด	
ขวบ	
ขวา	1
ข้อ	7
ของ	158
ขอน	
ขอบ	1
ขัง	
ขัด	1
ขัน	
ขับ	1
ข้า	1
ขาด	3
ขาน	
ขาย	5
ขาว	3
ขี่	
ขี้	1
ขีด	
ขืน	
ขุด	
ขุน	
ขู่	
เขต	3
เขา	44
แขก	1
แขน	1
โขง	
โขน	
ไข่	1
ไข้	
คณะ	4
คดี	2
คติ	
ค้น	
ครก	
ครบ	2
ครา	
คริ	
ครู	4
คลอ	
ควง	
ควบ	
ควร	9
คอน	
คอม	
คอย	2
คอล	
ค่ะ	5
คัด	
คัน	1
คับ	
คัพ	
ค่า	7
ค้า	2
คาง	
คาด	1
คาน	
คาบ	
ค่ำ	1
คิง	
คิด	12
คิม	
คิว	
คืน	4
คือ	24
คุก	
คุณ	21
คุม	1
คุย	3
คู่	4
คูณ	
เคท	
เคน	
เคย	12
แค่	5
แคน	
แคบ	
โคน	
โคม	
ใคร	11
ฆ่า	2
งวด	
งอน	
งาน	14
งาม	2
งี้	
เงย	
เงา	
แง่	1
โง่	
จตุ	
จรด	
จอง	
จอด	1
จอม	
จอย	
จ้ะ	
จ๊ะ	
จัก	
จัง	1
จัด	8
จัน	
จับ	4
จ่า	
จ้า	
จ๋า	
จาก	54
จาง	
จาน	1
จิก	
จิต	3
จิน	
จิบ	
จิร	
จี้	
จีน	6
จีบ	
จึง	23
จุก	
จุด	4
จุน	
จู่	
จูง	
จูบ	
เจ๊	
เจน	
เจอ	3
แจก	
โจร	
ฉวย	
ฉัน	25
ฉาก	1
ฉาย	1
ฉีก	
ฉีด	
ฉุด	
เฉย	1
โฉม	
ชนะ	1
ชรา	
ชวน	2
ช่อ	
ชอบ	6
ชัก	1
ชัด	1
ชัน	
ชัย	2
ช้า	2
ชาญ	
ชาน	
ชาม	
ชาย	4
ชาว	5
ช้ำ	
ชิง	1
ชิด	
ชิน	1
ชิม	
ชี้	2
ชีพ	
ชุด	3
ชุน	
แช่	
โชค	
ใช่	10
ใช้	34
ไชย	
ซวย	
ซอก	
ซอง	
ซอย	1
ซัก	1
ซัด	
ซัน	
ซับ	
ซัส	
ซ่า	
ซาก	
ซาน	
ซ้ำ	2
ซิน	
ซี่	
ซีก	
ซีด	
ซึม	
ซุป	
เซน	
เซล	
แซม	
โซ่	
